,,,,,,Terminal 3,,,,,,,,,,,,,,,
time ,flight no ,Air line,aircraft type,capacity,,Time Slots,Number of Arrivals,,,,,,,WRONG,,,,,,,
,6E5199,,Airbus A321,222,,,,,,,,,,,,,,,,,
,AI2689,,	Airbus A320neo ,186 ,,,,,,,,,,,,,,,,,
,AI2621,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,IX1117,,	Airbus A321neo,232,,,,,,,,,,,,,,,,,
,AI2623,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI407,,	Airbus A320,180,,,,,,,,,,,,,,,,,
,AI2839,,Airbus A320,180,,,,,,,,,,,,,,,,,
,AI2706,,	Airbus A321,182,,,,,,,,,,,,,,,,,
,AI837,,Airbus A320,180,,,,,,,,,,,,,,,,,
,AI2438,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,SG8910,,	Boeing 737-800,189,,,,,,,,,,,,,,,,,
,AI2925,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI851,,Airbus A321 ,182,,,,,,,,,,,,,,,,,
,AI2951,,	Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI2819,,	Airbus A320neo ,186 ,,,,,,,,,,,,,,,,,
,AI2441,,Airbus A320neo ,186 ,,,,,,,,,,,,,,,,,
,AI2509,,Airbus A320,180,,,,,,,,,,,,,,,,,
,AI2592,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,IX1199,,Boeing 737 MAX 8,189,,,,,,,,,,,,,,,,,
,AI461,,	Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI2465,,	Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI2420,,	Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI451,,	Airbus A321 ,182,,,,,,,,,,,,,,,,,
,AI815,,Airbus A321,182,,,,,,,,,,,,,,,,,
,AI2691,,Airbus A320neo ,186 ,,,,,,,,,,,,,,,,,
,AI2454,,Airbus A321 ,182,,,,,,,,,,,,,,,,,
,AI2933,,	Airbus A321,182,,,,,,,,,,,,,,,,,
,AI2737,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,IX1128,,	Boeing 737 MAX 8,189,,,,,,,,,,,,,,,,,
,IX1014,,Airbus A320neo,186,,,,,,,,,,,,,,,,,
,AI2971,,	Airbus A320neo ,186 ,,,,,,,,,,,,,,,,,
,AI2664,,Airbus A320neo ,186 ,,,,,,,,,,,,,,,,,
,6E5641,,	Airbus A320,180,,,,,,,,,,,,,,,,,
,AI2519,,Airbus A320neo,180,,,,,,,,,,,,,,,,,
,AI537,,Airbus A320neo (twin-jet) (A20N)	,180,,,,,,,,,,,,,,,,,
,AI503,,Airbus A321,182,,,,,,,,,,,,,,,,,
,AI2941,,	Airbus A320neo ,186 ,,,,,,,,,,,,,,,,,
,IX1153,,Airbus A320,180,,,,,,,,,,,,,,,,,
,AI2521,,	Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI915,,BOEING 777-300ER,345,,,,,,,,,,,,,,,,,
,AI2817,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI2600,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,IX1163,,	Boeing 737 MAX 8,189,,,,,,,,,,,,,,,,,
,9I809,,	ATR ATR-72,70,,,,,,,,,,,,,,,,,
,AI441,,BOEING 777-200LR,241,,,,,,,,,,,,,,,,,
,AI2537,,Airbus A320neo ,186 ,,,,,,,,,,,,,,,,,
,AI2403,,Airbus A321,182,,,,,,,,,,,,,,,,,
,9I627,,	ATR ATR-72 ,70,,,,,,,,,,,,,,,,,
,AI2879,,	Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI873,,Airbus A319,144,,,,,,,,,,,,,,,,,
,IX1169,,Boeing 737 MAX 8 ,189,,,,,,,,,,,,,,,,,
,IX1204,,	Boeing 737 MAX 8,189,,,,,,,,,,,,,,,,,
,AI2489,,Airbus A320neo ,186 ,,,,,,,,,,,,,,,,,
,AI2955,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI2837,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,6E5087,,Airbus A321neo,222,,,,,,,,,,,,,,,,,
,AI2711,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
18.00-24.00,AI2813,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI2797,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI855,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI2709,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,IX2763,,Boeing 737 MAX 8,189,,,,,,,,,,,,,,,,,
,6E5023,,Airbus A321neo,222,,,,,,,,,,,,,,,,,
,6E5344,,Airbus A320neo,186,,,,,,,,,,,,,,,,,
,AI809,,Airbus A320,180,,,,,,,,,,,,,,,,,
,6E5014,,	Airbus A321neo,222,,,,,,,,,,,,,,,,,
,AI2681,,Airbus A320neo ,186 ,,,,,,,,,,,,,,,,,
,AI2487,,	Airbus A320 ,180,,,,,,,,,,,,,,,,,
,AI2713,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,6E5286,,	Airbus A321neo ,222,,,,,,,,,,,,,,,,,
,9I831,,ATR ATR-72 ,70,,,,,,,,,,,,,,,,,
,AI2443,,	Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI2825,,	Airbus A320,180,,,,,,,,,,,,,,,,,
,AI811,,Airbus A320 ,180,,,,,,,,,,,,,,,,,
,AI2977,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,IX1171,,	Boeing 737 MAX 8,189,,,,,,,,,,,,,,,,,
,IX1104,,Boeing 737 MAX 8,189,,,,,,,,,,,,,,,,,
,6E5138,,Airbus A320neo,186,,,,,,,,,,,,,,,,,
,AI505,,Airbus A320,180,,,,,,,,,,,,,,,,,
,AI2512,,Airbus A321,182,,,,,,,,,,,,,,,,,
,IX1187,,	Boeing 737 MAX 8,189,,,,,,,,,,,,,,,,,
,AI2985,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,6E5041,,	Airbus A321,222,,,,,,,,,,,,,,,,,
,AI2463,,Airbus A320 ,180,,,,,,,,,,,,,,,,,
,AI2835,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI531,,Airbus A321,182,,,,,,,,,,,,,,,,,
,AI2809,,Airbus A320ne,186 ,,,,,,,,,,,,,,,,,
,AI2805,,Airbus A321 ,182,,,,,,,,,,,,,,,,,
,IX1202,,Boeing 737 MAX 8,189,,,,,,,,,,,,,,,,,
,AI2637,,	Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI895,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI2807,,Airbus A320neo ,186 ,,,,,,,,,,,,,,,,,
,AI2561,,Airbus A320,180,,,,,,,,,,,,,,,,,
,AI2871,,Airbus A320,180,,,,,,,,,,,,,,,,,
,AI801,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI2549,,Airbus A320neo ,186 ,,,,,,,,,,,,,,,,,
,AI2981,,Airbus A321,182,,,,,,,,,,,,,,,,,
,AI2400,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,IX1015,,Boeing 737 MAX 8,189,,,,,,,,,,,,,,,,,
,AI479,,Airbus A321,182,,,,,,,,,,,,,,,,,
,AI2433,,	Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI2412,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI2964,,	Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI2609,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI2929,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI411,,Airbus A320neo ,186 ,,,,,,,,,,,,,,,,,
,AI2449,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI2727,,Airbus A320 ,180,,,,,,,,,,,,,,,,,
,AI2999,,	Airbus A320,180,,,,,,,,,,,,,,,,,
,IX1195,,	Boeing 737 MAX 8,189,,,,,,,,,,,,,,,,,
,AI2437,,Airbus A320neo ,186 ,,,,,,,,,,,,,,,,,
,AI829,,	Airbus A321,182,,,,,,,,,,,,,,,,,
,6E5269,,Airbus A321,222,,,,,,,,,,,,,,,,,
,AI2439,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
,AI2961,,Airbus A320neo,186 ,,,,,,,,,,,,,,,,,
