,12:00,13:00,14:00,15:00,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,10:00,11:00
8:15,,8:15,0.3988432917,9.572239,,3.75,0.581687527,1.719136054,,4.25,0.5649547814,1.770053167,,3.25,0.6025221366,1.659690058,,2.5,0.6458589981,1.548325568,,2.5,0.6458589981,1.548325568,,2.5,0.6458589981,1.548325568,,,3.125,0.6085656867,1.643207992,,,,,,,,,,,,,,,
8:30,,8:30,0.3988432917,9.572239,,4,0.5728916122,1.74553088,,3.75,0.581687527,1.719136054,,3.25,0.6025221366,1.659690058,,3.25,0.6025221366,1.659690058,,2.5,0.6458589981,1.548325568,,2.5,0.6458589981,1.548325568,,,3.208333333,0.6044942134,1.654275554,,,,,,,,,,,,,,,
8:45,,8:45,0.3988432917,9.572239,,3.75,0.581687527,1.719136054,,3,0.6150137015,1.625980035,,2.75,0.6293087439,1.589045138,,2.75,0.6293087439,1.589045138,,2.5,0.6458589981,1.548325568,,2.75,0.6293087439,1.589045138,,,2.916666667,0.6195588428,1.614051694,,,,,,,,,,,,,,,
9:00,,9:00,0.3988432917,9.572239,,3.25,0.6025221366,1.659690058,,2.75,0.6293087439,1.589045138,,3.25,0.6025221366,1.659690058,,2.5,0.6458589981,1.548325568,,2.5,0.6458589981,1.548325568,,2.5,0.6458589981,1.548325568,,,2.791666667,0.6267835904,1.595447002,,,,,,,,,,,,,,,
10:00,,10:00,0.3988432917,9.572239,,3.5,0.5914984483,1.69062151,,3.5,0.5914984483,1.69062151,,2.75,0.6293087439,1.589045138,,2.75,0.6293087439,1.589045138,,2.5,0.6458589981,1.548325568,,2.75,0.6293087439,1.589045138,,,2.958333333,0.617260443,1.620061696,,,,,,,,,,,,,,,
11:00,,11:00,0.3988432917,9.572239,,2.5,0.6458589981,1.548325568,,2.5,0.6458589981,1.548325568,,2.5,0.6458589981,1.548325568,,2.5,0.6458589981,1.548325568,,2.5,0.6458589981,1.548325568,,2.5,0.6458589981,1.548325568,,,2.5,0.6458589981,1.548325568,,,,,,,,,,,,,,,
,,,,,,3.192708333,0.5191557648,2.134810847,#DIV/0!,2.869791667,0.5336767359,2.086699247,#DIV/0!,2.942708333,0.5298846606,2.099651072,#DIV/0!,2.708333333,0.5425703096,2.05877339,,,,,,,,,,,2.819444444,0.5344900337,2.077267124,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.75,4,3.25,3,4.25,3.5,3,3,2.5,2.5,2.5,3.5,4,2.75,3.5,2.5,3.5,3.25,2.75,2.75,2.5,2.5,2.5,3,2.5,2.5,2.5,2.5,2.5,2.75,2.75,3.75,2.75,5.5,3.75,4,3.25,3.25,4,2.75,4.25,3,3.75,4,3.75,3.25,3.5,2.5
,2.5,2.75,2.5,2.75,3.25,2.75,3,2.5,2.75,2.75,2.5,3,2.5,2.75,2.5,2.5,2.5,3,2.75,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,2.5,2.5,2.75,3,3.25,3.75,2.75,3.75,3.5,2.75,3,3.75,3,2.75,4.25,3.75,3,2.75,3.5,2.5
,2.75,3.5,2.5,3.25,2.75,2.5,3,2.5,3,3,4,2.75,3.25,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.75,2.5,2.5,2.75,2.5,2.5,2.5,2.5,2.5,3,3.5,3.5,3.25,3.5,3,4,2.75,3.5,3.75,3.75,3.25,3.5,3.25,3.25,2.75,3.25,2.75,2.5
,2.75,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.75,3.25,3,2.5,2.5,2.75,2.75,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,4.75,2.5,2.75,2.5,3,2.5,2.75,2.75,3.25,2.5,3.75,2.5,3.25,2.75,2.5,2.75,2.5
,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,3.25,3,2.75,3.5,2.75,2.5,3.5,3,2.75,2.5,2.75,2.75,2.75,2.75,2.5,2.5,2.5,3.25,2.75,2.5,2.5,2.5,2.75,3,2.5,2.5,2.5,2.5,2.5,2.5,2.75,2.5,2.5,2.5,2.75,2.5,2.75,2.5,2.5,2.5,3.25,2.5,2.5,2.5,2.75,2.5,2.75,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T2 LAMBDA,4.570428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14.2886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15.40635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11.1342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG OF ALL TIMES,2.916666667,3.041666667,2.666666667,2.916666667,3,2.708333333,2.916666667,2.666666667,2.666666667,2.625,2.833333333,2.958333333,3,2.625,2.666666667,2.541666667,2.708333333,2.833333333,2.625,2.541666667,2.541666667,2.5,2.541666667,2.708333333,2.5,2.5,2.5,2.666666667,2.5,2.625,3.041666667,3.333333333,2.791666667,3.416666667,2.875,3.291666667,2.875,2.875,3.083333333,3.083333333,3.125,3,3.125,3.208333333,2.916666667,2.791666667,2.958333333,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.916666667,3.041666667,2.666666667,2.916666667,3,2.708333333,2.916666667,2.666666667,2.666666667,2.625,2.833333333,2.958333333,3,2.625,2.666666667,2.541666667,2.708333333,2.833333333,2.625,2.541666667,2.541666667,2.5,2.541666667,2.708333333,2.5,2.5,2.5,2.666666667,2.5,2.625,3.041666667,3.333333333,2.791666667,3.416666667,2.875,3.291666667,2.875,2.875,3.083333333,3.083333333,3.125,3,3.125,3.208333333,2.916666667,2.791666667,2.958333333,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
