,12:00,13:00,14:00,15:00,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,10:00,11:00
3D,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 
4D,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 
5D,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 
6D,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 ,0-5 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AVG,3.75,4,3.25,3,4.25,3.5,3,3,2.5,2.5,2.5,3.5,4,2.75,3.5,2.5,3.5,3.25,2.75,2.75,2.5,2.5,2.5,3,2.5,2.5,2.5,2.5,2.5,2.75,2.75,3.75,2.75,5.5,3.75,4,3.25,3.25,4,2.75,4.25,3,3.75,4,3.75,3.25,3.5,2.5
2 AVG,2.5,2.75,2.5,2.75,3.25,2.75,3,2.5,2.75,2.75,2.5,3,2.5,2.75,2.5,2.5,2.5,3,2.75,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,2.5,2.5,2.75,3,3.25,3.75,2.75,3.75,3.5,2.75,3,3.75,3,2.75,4.25,3.75,3,2.75,3.5,2.5
3 AVG,2.75,3.5,2.5,3.25,2.75,2.5,3,2.5,3,3,4,2.75,3.25,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.75,2.5,2.5,2.75,2.5,2.5,2.5,2.5,2.5,3,3.5,3.5,3.25,3.5,3,4,2.75,3.5,3.75,3.75,3.25,3.5,3.25,3.25,2.75,3.25,2.75,2.5
4 AVG,2.75,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.75,3.25,3,2.5,2.5,2.75,2.75,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,4.75,2.5,2.75,2.5,3,2.5,2.75,2.75,3.25,2.5,3.75,2.5,3.25,2.75,2.5,2.75,2.5
5 AVG,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
