,12:00,13:00,14:00,15:00,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,10:00,11:00
19:30,19:30,1.348989375,21.58383,,3,1.625602572,0.6151565069,,,3.125,1.616099532,0.6187737699,,,3.0625,1.620766007,0.6169922097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:45,19:45,1.348989375,21.58383,,3.125,1.616099532,0.6187737699,,,4.125,1.558785822,0.6415249522,,,3.625,1.583933022,0.6313398271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:00,20:00,1.348989375,21.58383,,3.25,1.607241565,0.6221840088,,,3.375,1.59896407,0.6254049224,,,3.3125,1.603033948,0.6238171069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21:00,21:00,1.348989375,21.58383,,3.75,1.577087388,0.6340802719,,,3.75,1.577087388,0.6340802719,,,3.75,1.577087388,0.6340802719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22:00,22:00,1.348989375,21.58383,,3.5,1.591210903,0.6284522047,,,3.25,1.607241565,0.6221840088,,,3.375,1.59896407,0.6254049224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23:00,23:00,1.348989375,21.58383,,3.875,1.570636068,0.6366847295,,,4,1.564545488,0.6391632636,,,3.9375,1.567547631,0.6379391479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0:00,0:00,1.348989375,21.58383,,2.75,1.64685505,0.607217982,,,4.5,1.543240047,0.6479873314,,,3.625,1.583933022,0.6313398271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:00,1:00,1.247969375,19.96751,,3.5,1.48765104,0.6722006526,,,3.25,1.503386454,0.6651649662,,,3.375,1.495262826,0.6687787477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:00,2:00,1.247969375,19.96751,,2.625,1.553916833,0.6435350843,,,3.375,1.495262826,0.6687787477,,,3,1.521395787,0.6572911588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3:00,3:00,1.247969375,19.96751,,3.25,1.503386454,0.6651649662,,,3.375,1.495262826,0.6687787477,,,3.3125,1.499257423,0.6669968642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:00,4:00,1.247969375,19.96751,,3.125,1.512076513,0.661342195,,,4.125,1.4557869,0.6869137235,,,3.625,1.4805034,0.675445933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:00,5:00,1.247969375,19.96751,,4.25,1.450420858,0.6894550604,,,4.25,1.450420858,0.6894550604,,,4.25,1.450420858,0.6894550604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:15,5:15,1.247969375,19.96751,,3.75,1.473778029,0.6785282317,,,2.875,1.531416886,0.6529900573,,,3.3125,1.499257423,0.6669968642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:30,5:30,1.247969375,19.96751,,3.25,1.503386454,0.6651649662,,,2.5,1.566611146,0.6383204936,,,2.875,1.531416886,0.6529900573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:45,5:45,1.247969375,19.96751,,3,1.521395787,0.6572911588,,,3.6875,1.477090345,0.6770066593,,,3.34375,1.497243742,0.6678939253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:00,6:00,1.247969375,19.96751,,2.75,1.542224273,0.6484141235,,,3.5,1.48765104,0.6722006526,,,3.125,1.512076513,0.661342195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:15,6:15,1.580650625,25.29041,,3.625,1.82020669,0.5493881577,,,4.5,1.778186535,0.5623706965,,,4.0625,1.797150685,0.5564363681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:30,6:30,1.580650625,25.29041,,3.125,1.853538508,0.5395086185,,,3.25,1.844350046,0.5421964244,,,3.1875,1.84886416,0.5408726188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:45,6:45,1.580650625,25.29041,,5.25,1.752453375,0.5706285908,,,4.5,1.778186535,0.5623706965,,,4.875,1.764414695,0.5667601856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:00,7:00,1.580650625,25.29041,,3.875,1.806457163,0.5535697277,,,4.5,1.778186535,0.5623706965,,,4.1875,1.791366224,0.5582331446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:15,7:15,1.580650625,25.29041,,4.625,1.773369766,0.5638981894,,,4.25,1.788589753,0.5590997031,,,4.4375,1.780687396,0.5615808828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:30,7:30,1.580650625,25.29041,,3.25,1.844350046,0.5421964244,,,3.625,1.82020669,0.5493881577,,,3.4375,1.831689675,0.5459440065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:45,7:45,1.580650625,25.29041,,4,1.800165278,0.5555045485,,,4.75,1.768784638,0.565359953,,,4.375,1.78325314,0.5607728805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00,8:00,1.580650625,25.29041,,3.5,1.827739677,0.547123867,,,4.125,1.794218798,0.5573456265,,,3.8125,1.809742295,0.5525648611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:15,8:15,1.580650625,25.29041,,4.125,1.794218798,0.5573456265,,,3.625,1.82020669,0.5493881577,,,3.875,1.806457163,0.5535697277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:30,8:30,1.580650625,25.29041,,5.125,1.756262026,0.569391119,,,5.375,1.748807777,0.5718181342,,,5.25,1.752453375,0.5706285908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:45,8:45,1.580650625,25.29041,,4.5,1.778186535,0.5623706965,,,4.25,1.788589753,0.5590997031,,,4.375,1.78325314,0.5607728805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:00,9:00,1.580650625,25.29041,,6.375,1.724434137,0.5799003735,,,5.875,1.735661768,0.5761491198,,,6.125,1.729835561,0.5780896302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00,10:00,1.580650625,25.29041,,2.75,1.885494772,0.5303647694,,,3.125,1.853538508,0.5395086185,,,2.9375,1.868614666,0.5351558127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00,11:00,1.580650625,25.29041,,2.875,1.874025281,0.533610731,,,3.25,1.844350046,0.5421964244,,,3.0625,1.85838192,0.5381025232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3.718098958,1.62540894,0.6184315762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7.372019523,0.1356480401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11.34989519,0.0881065405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,21.97961687,0.04549669841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
